idempresabandera	empresabandera
28	PUMA
4	SHELL C.A.P.S.A.
2	YPF
1	BLANCA
26	AXION
29	GULF
8	REFINOR
6	DAPSA S.A.
-1	SIN EMPRESA BANDERA
